date,cc,state,announced,mediator_nego,enforcement,state_prev,mediator_prev,enf_prev,resilience_index
1994-01-01,70,0,1,0.0,0.0,,,,1
1994-02-01,70,0,0,0.0,0.0,0.0,0.0,0.0,2
1994-03-01,70,0,0,0.0,0.0,0.0,0.0,0.0,3
1994-04-01,70,0,0,0.0,0.0,0.0,0.0,0.0,4
1994-05-01,70,0,0,0.0,0.0,0.0,0.0,0.0,5
1994-06-01,70,0,0,0.0,0.0,0.0,0.0,0.0,6
1994-07-01,70,0,0,0.0,0.0,0.0,0.0,0.0,7
1994-08-01,70,0,0,0.0,0.0,0.0,0.0,0.0,8
1994-09-01,70,0,0,0.0,0.0,0.0,0.0,0.0,9
1994-10-01,70,0,0,0.0,0.0,0.0,0.0,0.0,10
1994-11-01,70,0,0,0.0,0.0,0.0,0.0,0.0,11
1994-12-01,70,0,1,0.0,0.0,0.0,0.0,0.0,12
1995-01-01,70,0,1,0.0,0.0,0.0,0.0,0.0,13
1995-02-01,70,0,0,0.0,0.0,0.0,0.0,0.0,14
1995-03-01,70,1,0,0.0,0.0,0.0,0.0,0.0,0
1995-04-01,70,1,0,0.0,0.0,1.0,0.0,0.0,0
1995-05-01,70,1,0,0.0,0.0,1.0,0.0,0.0,0
1995-06-01,70,1,0,0.0,0.0,1.0,0.0,0.0,0
1995-07-01,70,1,0,0.0,0.0,1.0,0.0,0.0,0
1995-08-01,70,1,0,0.0,0.0,1.0,0.0,0.0,0
1995-09-01,70,1,0,0.0,0.0,1.0,0.0,0.0,0
1995-10-01,70,1,0,0.0,0.0,1.0,0.0,0.0,0
1995-11-01,70,1,0,0.0,0.0,1.0,0.0,0.0,0
1995-12-01,70,1,0,0.0,0.0,1.0,0.0,0.0,0
1996-01-01,70,1,0,0.0,0.0,1.0,0.0,0.0,0
1996-02-01,70,1,0,0.0,0.0,1.0,0.0,0.0,0
1996-03-01,70,1,0,0.0,0.0,1.0,0.0,0.0,0
1996-04-01,70,1,0,0.0,0.0,1.0,0.0,0.0,0
1996-05-01,70,1,0,0.0,0.0,1.0,0.0,0.0,0
1996-06-01,70,1,0,0.0,0.0,1.0,0.0,0.0,0
1996-07-01,70,1,0,0.0,0.0,1.0,0.0,0.0,0
1996-08-01,70,1,0,0.0,0.0,1.0,0.0,0.0,0
1996-09-01,70,0,1,0.0,0.0,1.0,0.0,0.0,1
1996-10-01,70,0,0,0.0,0.0,0.0,0.0,0.0,2
1996-11-01,70,0,1,0.0,0.0,0.0,0.0,0.0,3
1996-12-01,70,1,0,0.0,0.0,0.0,0.0,0.0,0
1997-01-01,70,1,0,0.0,0.0,1.0,0.0,0.0,0
1997-02-01,70,1,0,0.0,0.0,1.0,0.0,0.0,0
1997-03-01,70,1,0,0.0,0.0,1.0,0.0,0.0,0
1997-04-01,70,1,0,0.0,0.0,1.0,0.0,0.0,0
1997-05-01,70,1,0,0.0,0.0,1.0,0.0,0.0,0
1997-06-01,70,0,1,0.0,0.0,1.0,0.0,0.0,1
1997-07-01,70,0,0,0.0,0.0,0.0,0.0,0.0,2
1995-11-01,90,0,0,0.0,0.0,,,,1
1995-12-01,90,0,1,0.0,0.0,0.0,0.0,0.0,2
1996-01-01,90,0,0,0.0,0.0,0.0,0.0,0.0,3
